date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
13/08/2021,M'gladbach,Bayern Munich,1,1,D,11,20,5,10,4.33,4.5,1.66,Bundesliga,2021/22
14/08/2021,Augsburg,Hoffenheim,0,4,A,7,15,0,8,3.2,3.75,2.1,Bundesliga,2021/22
14/08/2021,Bielefeld,Freiburg,0,0,D,10,14,4,6,2.8,3.4,2.5,Bundesliga,2021/22
14/08/2021,Stuttgart,Greuther Furth,5,1,H,30,8,15,4,1.83,4.0,4.0,Bundesliga,2021/22
14/08/2021,Union Berlin,Leverkusen,1,1,D,8,16,5,4,2.75,3.4,2.55,Bundesliga,2021/22
14/08/2021,Wolfsburg,Bochum,1,0,H,21,7,9,1,1.53,4.5,5.75,Bundesliga,2021/22
14/08/2021,Dortmund,Ein Frankfurt,5,2,H,12,12,7,3,1.4,5.5,6.5,Bundesliga,2021/22
15/08/2021,Mainz,RB Leipzig,1,0,H,7,15,2,2,8.0,5.5,1.33,Bundesliga,2021/22
15/08/2021,FC Koln,Hertha,3,1,H,15,11,5,5,2.55,3.4,2.75,Bundesliga,2021/22
20/08/2021,RB Leipzig,Stuttgart,4,0,H,26,11,11,5,1.36,5.25,7.0,Bundesliga,2021/22
21/08/2021,Bochum,Mainz,2,0,H,9,16,5,3,2.62,3.5,2.62,Bundesliga,2021/22
21/08/2021,Ein Frankfurt,Augsburg,0,0,D,20,4,5,0,1.57,4.5,5.25,Bundesliga,2021/22
21/08/2021,Freiburg,Dortmund,2,1,H,8,19,4,2,5.5,4.75,1.5,Bundesliga,2021/22
21/08/2021,Greuther Furth,Bielefeld,1,1,D,20,9,5,2,2.55,3.4,2.7,Bundesliga,2021/22
21/08/2021,Hertha,Wolfsburg,1,2,A,12,12,4,3,3.0,3.4,2.37,Bundesliga,2021/22
21/08/2021,Leverkusen,M'gladbach,4,0,H,13,11,6,6,2.2,3.75,3.0,Bundesliga,2021/22
22/08/2021,Hoffenheim,Union Berlin,2,2,D,7,11,3,8,2.0,3.6,3.6,Bundesliga,2021/22
22/08/2021,Bayern Munich,FC Koln,3,2,H,18,10,6,3,1.11,11.0,16.0,Bundesliga,2021/22
27/08/2021,Dortmund,Hoffenheim,3,2,H,23,9,13,5,1.4,5.5,6.5,Bundesliga,2021/22
28/08/2021,Augsburg,Leverkusen,1,4,A,13,13,4,5,4.75,3.8,1.72,Bundesliga,2021/22
28/08/2021,Bielefeld,Ein Frankfurt,1,1,D,14,12,5,3,3.3,3.6,2.1,Bundesliga,2021/22
28/08/2021,FC Koln,Bochum,2,1,H,21,10,5,1,1.83,3.75,4.2,Bundesliga,2021/22
28/08/2021,Mainz,Greuther Furth,3,0,H,17,8,9,1,1.66,4.0,5.0,Bundesliga,2021/22
28/08/2021,Stuttgart,Freiburg,2,3,A,17,14,7,7,2.15,3.6,3.2,Bundesliga,2021/22
28/08/2021,Bayern Munich,Hertha,5,0,H,17,8,6,3,1.14,9.0,15.0,Bundesliga,2021/22
29/08/2021,Union Berlin,M'gladbach,2,1,H,12,18,4,5,2.45,3.25,2.9,Bundesliga,2021/22
29/08/2021,Wolfsburg,RB Leipzig,1,0,H,8,12,2,2,3.6,3.5,2.05,Bundesliga,2021/22
11/09/2021,Freiburg,FC Koln,1,1,D,10,15,3,5,2.2,3.6,3.1,Bundesliga,2021/22
11/09/2021,Greuther Furth,Wolfsburg,0,2,A,7,10,3,4,5.5,4.33,1.57,Bundesliga,2021/22
11/09/2021,Hoffenheim,Mainz,0,2,A,12,11,0,4,2.0,3.75,3.5,Bundesliga,2021/22
11/09/2021,Leverkusen,Dortmund,3,4,A,11,15,5,7,3.1,3.8,2.15,Bundesliga,2021/22
11/09/2021,Union Berlin,Augsburg,0,0,D,15,13,6,6,1.7,3.75,5.0,Bundesliga,2021/22
11/09/2021,RB Leipzig,Bayern Munich,1,4,A,10,18,4,6,3.0,3.8,2.2,Bundesliga,2021/22
12/09/2021,Ein Frankfurt,Stuttgart,1,1,D,18,9,5,3,2.0,3.75,3.5,Bundesliga,2021/22
12/09/2021,Bochum,Hertha,1,3,A,19,5,5,4,2.8,3.4,2.5,Bundesliga,2021/22
12/09/2021,M'gladbach,Bielefeld,3,1,H,17,18,4,7,1.44,4.75,7.0,Bundesliga,2021/22
17/09/2021,Hertha,Greuther Furth,2,1,H,15,10,3,3,1.75,3.75,4.2,Bundesliga,2021/22
18/09/2021,Augsburg,M'gladbach,1,0,H,8,11,1,1,4.2,4.0,1.8,Bundesliga,2021/22
18/09/2021,Bayern Munich,Bochum,7,0,H,22,5,15,1,1.06,13.0,29.0,Bundesliga,2021/22
18/09/2021,Bielefeld,Hoffenheim,0,0,D,9,16,2,3,3.5,3.6,2.05,Bundesliga,2021/22
18/09/2021,Mainz,Freiburg,0,0,D,10,7,3,2,2.0,3.6,3.6,Bundesliga,2021/22
18/09/2021,FC Koln,RB Leipzig,1,1,D,14,18,6,9,4.5,4.0,1.72,Bundesliga,2021/22
