date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
11/08/2023,Almeria,Vallecano,0,2,A,19,10,5,4,2.45,3.3,2.9,La Liga,2023/24
11/08/2023,Sevilla,Valencia,1,2,A,9,10,3,3,1.91,3.5,4.2,La Liga,2023/24
12/08/2023,Sociedad,Girona,1,1,D,15,6,2,1,1.62,4.0,5.25,La Liga,2023/24
12/08/2023,Las Palmas,Mallorca,1,1,D,5,12,2,2,2.4,3.0,3.3,La Liga,2023/24
12/08/2023,Ath Bilbao,Real Madrid,0,2,A,7,14,1,8,3.3,3.5,2.15,La Liga,2023/24
13/08/2023,Celta,Osasuna,0,2,A,11,11,1,5,2.05,3.2,3.9,La Liga,2023/24
13/08/2023,Villarreal,Betis,1,2,A,18,12,5,5,1.75,4.0,4.2,La Liga,2023/24
13/08/2023,Getafe,Barcelona,0,0,D,5,14,2,4,6.5,3.8,1.57,La Liga,2023/24
14/08/2023,Cadiz,Alaves,1,0,H,12,10,3,2,2.2,3.0,3.75,La Liga,2023/24
14/08/2023,Ath Madrid,Granada,3,1,H,14,7,6,4,1.3,5.5,9.5,La Liga,2023/24
18/08/2023,Mallorca,Villarreal,0,1,A,8,15,1,3,2.8,3.2,2.6,La Liga,2023/24
18/08/2023,Valencia,Las Palmas,1,0,H,9,7,4,1,1.57,3.9,6.0,La Liga,2023/24
19/08/2023,Sociedad,Celta,1,1,D,11,17,2,6,1.73,3.4,5.5,La Liga,2023/24
19/08/2023,Almeria,Real Madrid,1,3,A,20,24,8,9,8.0,4.75,1.4,La Liga,2023/24
19/08/2023,Osasuna,Ath Bilbao,0,2,A,18,8,7,2,2.9,3.0,2.63,La Liga,2023/24
20/08/2023,Girona,Getafe,3,0,H,7,9,6,2,2.05,3.1,4.0,La Liga,2023/24
20/08/2023,Barcelona,Cadiz,2,0,H,23,10,10,1,1.2,7.0,13.0,La Liga,2023/24
20/08/2023,Betis,Ath Madrid,0,0,D,14,5,0,1,3.8,3.4,2.0,La Liga,2023/24
21/08/2023,Alaves,Sevilla,4,3,H,14,12,7,2,3.3,3.1,2.35,La Liga,2023/24
21/08/2023,Granada,Vallecano,0,2,A,14,17,7,9,2.75,3.0,2.8,La Liga,2023/24
25/08/2023,Las Palmas,Sociedad,0,0,D,11,8,5,1,4.33,3.1,2.0,La Liga,2023/24
25/08/2023,Celta,Real Madrid,0,1,A,13,10,4,3,4.75,3.9,1.7,La Liga,2023/24
26/08/2023,Cadiz,Almeria,1,1,D,11,5,3,2,2.25,3.2,3.3,La Liga,2023/24
26/08/2023,Granada,Mallorca,3,2,H,10,10,4,5,2.6,3.0,3.0,La Liga,2023/24
26/08/2023,Sevilla,Girona,1,2,A,21,8,4,3,2.05,3.4,3.6,La Liga,2023/24
27/08/2023,Villarreal,Barcelona,3,4,A,13,21,6,11,3.6,3.5,2.0,La Liga,2023/24
27/08/2023,Valencia,Osasuna,1,2,A,16,7,4,2,1.91,3.4,4.0,La Liga,2023/24
27/08/2023,Ath Bilbao,Betis,4,2,H,14,7,6,3,1.85,3.5,4.2,La Liga,2023/24
28/08/2023,Getafe,Alaves,1,0,H,15,16,4,2,2.2,2.88,3.8,La Liga,2023/24
28/08/2023,Vallecano,Ath Madrid,0,7,A,12,17,3,10,4.2,3.3,1.95,La Liga,2023/24
01/09/2023,Cadiz,Villarreal,3,1,H,18,7,4,3,3.4,3.4,2.15,La Liga,2023/24
01/09/2023,Almeria,Celta,2,3,A,16,14,5,8,2.8,3.4,2.5,La Liga,2023/24
02/09/2023,Sociedad,Granada,5,3,H,15,8,6,5,1.44,4.5,7.0,La Liga,2023/24
02/09/2023,Real Madrid,Getafe,2,1,H,26,6,12,2,1.33,5.25,9.5,La Liga,2023/24
02/09/2023,Alaves,Valencia,1,0,H,7,9,1,4,2.9,2.88,2.75,La Liga,2023/24
02/09/2023,Betis,Vallecano,1,0,H,14,15,5,6,1.95,3.4,4.0,La Liga,2023/24
03/09/2023,Girona,Las Palmas,1,0,H,11,10,6,5,1.67,3.8,5.25,La Liga,2023/24
03/09/2023,Mallorca,Ath Bilbao,0,0,D,8,11,2,3,3.3,3.0,2.38,La Liga,2023/24
03/09/2023,Osasuna,Barcelona,1,2,A,11,9,3,4,5.25,4.0,1.65,La Liga,2023/24
15/09/2023,Vallecano,Alaves,2,0,H,20,9,11,1,2.0,3.25,4.0,La Liga,2023/24
16/09/2023,Ath Bilbao,Cadiz,3,0,H,20,5,9,4,1.53,4.0,7.0,La Liga,2023/24
16/09/2023,Valencia,Ath Madrid,3,0,H,12,11,8,3,3.8,3.3,2.05,La Liga,2023/24
16/09/2023,Celta,Mallorca,0,1,A,16,7,4,4,2.0,3.1,4.33,La Liga,2023/24
16/09/2023,Barcelona,Betis,5,0,H,17,11,9,2,1.36,5.25,7.5,La Liga,2023/24
17/09/2023,Getafe,Osasuna,3,2,H,11,8,6,3,2.63,3.0,3.0,La Liga,2023/24
17/09/2023,Villarreal,Almeria,2,1,H,10,17,4,7,1.44,4.5,7.0,La Liga,2023/24
17/09/2023,Sevilla,Las Palmas,1,0,H,26,12,9,2,1.62,4.0,5.5,La Liga,2023/24
17/09/2023,Real Madrid,Sociedad,2,1,H,17,15,8,5,1.65,4.0,5.0,La Liga,2023/24
18/09/2023,Granada,Girona,2,4,A,12,13,5,7,2.63,3.5,2.6,La Liga,2023/24
22/09/2023,Alaves,Ath Bilbao,0,2,A,15,11,5,3,4.2,3.0,2.05,La Liga,2023/24
23/09/2023,Girona,Mallorca,5,3,H,23,15,10,5,1.85,3.5,4.2,La Liga,2023/24
23/09/2023,Osasuna,Sevilla,0,0,D,16,15,2,3,2.6,3.1,2.88,La Liga,2023/24
23/09/2023,Barcelona,Celta,3,2,H,15,13,6,7,1.29,6.0,9.0,La Liga,2023/24
23/09/2023,Almeria,Valencia,2,2,D,17,7,10,5,3.0,3.6,2.3,La Liga,2023/24
24/09/2023,Sociedad,Getafe,4,3,H,10,10,6,7,1.53,3.8,7.0,La Liga,2023/24
24/09/2023,Vallecano,Villarreal,1,1,D,11,13,6,6,2.5,3.5,2.63,La Liga,2023/24
24/09/2023,Betis,Cadiz,1,1,D,21,5,7,1,1.8,3.5,4.5,La Liga,2023/24
24/09/2023,Las Palmas,Granada,1,0,H,10,2,3,1,1.95,3.5,3.6,La Liga,2023/24
24/09/2023,Ath Madrid,Real Madrid,3,1,H,10,20,4,5,2.7,3.4,2.55,La Liga,2023/24
26/09/2023,Sevilla,Almeria,5,1,H,18,10,9,1,1.67,3.8,5.0,La Liga,2023/24
26/09/2023,Mallorca,Barcelona,2,2,D,10,10,5,4,7.5,4.2,1.5,La Liga,2023/24
27/09/2023,Ath Bilbao,Getafe,2,2,D,9,13,4,5,1.62,3.6,6.5,La Liga,2023/24
27/09/2023,Real Madrid,Las Palmas,2,0,H,21,16,9,2,1.2,7.0,11.0,La Liga,2023/24
27/09/2023,Villarreal,Girona,1,2,A,14,17,3,5,2.25,3.5,3.1,La Liga,2023/24
27/09/2023,Cadiz,Vallecano,0,0,D,9,9,2,4,2.5,3.2,2.88,La Liga,2023/24
27/09/2023,Valencia,Sociedad,0,1,A,9,2,2,1,2.63,3.1,2.8,La Liga,2023/24
28/09/2023,Celta,Alaves,1,1,D,8,21,0,11,1.7,3.6,5.25,La Liga,2023/24
28/09/2023,Granada,Betis,1,1,D,19,13,7,3,3.0,3.3,2.38,La Liga,2023/24
28/09/2023,Osasuna,Ath Madrid,0,2,A,13,4,2,3,3.4,3.4,2.15,La Liga,2023/24
29/09/2023,Barcelona,Sevilla,1,0,H,18,12,5,3,1.36,5.25,8.0,La Liga,2023/24
30/09/2023,Getafe,Villarreal,0,0,D,22,3,9,0,2.9,3.1,2.6,La Liga,2023/24
30/09/2023,Vallecano,Mallorca,2,2,D,19,9,5,4,2.1,3.1,4.0,La Liga,2023/24
30/09/2023,Girona,Real Madrid,0,3,A,13,14,3,7,3.5,4.0,1.95,La Liga,2023/24
30/09/2023,Sociedad,Ath Bilbao,3,0,H,8,18,5,3,2.2,3.2,3.5,La Liga,2023/24
01/10/2023,Almeria,Granada,3,3,D,17,19,5,4,1.95,3.6,3.75,La Liga,2023/24
01/10/2023,Alaves,Osasuna,0,2,A,17,10,3,3,2.75,3.0,2.8,La Liga,2023/24
01/10/2023,Ath Madrid,Cadiz,3,2,H,18,8,9,4,1.33,5.0,10.0,La Liga,2023/24
01/10/2023,Betis,Valencia,3,0,H,15,9,7,2,2.3,3.25,3.3,La Liga,2023/24
