date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
06/08/2021,Monaco,Nantes,1,1,D,15,5,3,1,1.44,4.33,7.0,Ligue 1,2021/22
07/08/2021,Lyon,Brest,1,1,D,17,13,4,8,1.33,5.0,8.5,Ligue 1,2021/22
07/08/2021,Troyes,Paris SG,1,2,A,15,12,7,3,11.0,6.0,1.25,Ligue 1,2021/22
08/08/2021,Rennes,Lens,1,1,D,10,11,2,6,2.0,3.4,3.75,Ligue 1,2021/22
08/08/2021,Bordeaux,Clermont,0,2,A,10,19,6,10,2.0,3.4,3.75,Ligue 1,2021/22
08/08/2021,Nice,Reims,0,0,D,12,5,2,0,1.85,3.5,4.2,Ligue 1,2021/22
08/08/2021,St Etienne,Lorient,1,1,D,20,12,3,3,2.25,3.25,3.2,Ligue 1,2021/22
08/08/2021,Strasbourg,Angers,0,2,A,7,9,1,2,2.0,3.2,4.0,Ligue 1,2021/22
08/08/2021,Metz,Lille,3,3,D,12,18,5,7,5.25,3.4,1.72,Ligue 1,2021/22
08/08/2021,Montpellier,Marseille,2,3,A,8,21,1,7,3.2,3.4,2.2,Ligue 1,2021/22
13/08/2021,Lorient,Monaco,1,0,H,2,12,2,3,4.0,3.75,1.85,Ligue 1,2021/22
14/08/2021,Lille,Nice,0,4,A,11,11,2,7,1.8,3.5,4.75,Ligue 1,2021/22
14/08/2021,Paris SG,Strasbourg,4,2,H,11,8,6,2,1.2,7.0,13.0,Ligue 1,2021/22
15/08/2021,Angers,Lyon,3,0,H,13,8,6,3,4.5,3.8,1.75,Ligue 1,2021/22
15/08/2021,Brest,Rennes,1,1,D,10,6,5,2,3.1,3.4,2.3,Ligue 1,2021/22
15/08/2021,Clermont,Troyes,2,0,H,18,6,8,1,2.0,3.4,3.8,Ligue 1,2021/22
15/08/2021,Nantes,Metz,2,0,H,11,10,7,5,2.3,3.2,3.25,Ligue 1,2021/22
15/08/2021,Reims,Montpellier,3,3,D,19,15,9,5,2.6,3.3,2.75,Ligue 1,2021/22
15/08/2021,Lens,St Etienne,2,2,D,22,12,7,7,2.0,3.5,3.75,Ligue 1,2021/22
15/08/2021,Marseille,Bordeaux,2,2,D,10,8,2,2,1.53,4.2,6.0,Ligue 1,2021/22
20/08/2021,Brest,Paris SG,2,4,A,11,16,3,8,9.5,5.75,1.25,Ligue 1,2021/22
21/08/2021,Monaco,Lens,0,2,A,9,4,2,2,1.7,3.75,4.75,Ligue 1,2021/22
21/08/2021,St Etienne,Lille,1,1,D,10,8,2,6,3.1,3.2,2.4,Ligue 1,2021/22
22/08/2021,Lyon,Clermont,3,3,D,21,17,9,5,1.55,4.5,5.25,Ligue 1,2021/22
22/08/2021,Bordeaux,Angers,1,1,D,14,6,5,3,2.87,3.2,2.62,Ligue 1,2021/22
22/08/2021,Metz,Reims,1,1,D,10,12,4,3,2.25,3.2,3.4,Ligue 1,2021/22
22/08/2021,Montpellier,Lorient,3,1,H,32,5,11,4,2.1,3.4,3.5,Ligue 1,2021/22
22/08/2021,Strasbourg,Troyes,1,1,D,14,10,4,6,2.0,3.4,3.75,Ligue 1,2021/22
22/08/2021,Rennes,Nantes,1,0,H,14,4,5,1,1.85,3.6,4.2,Ligue 1,2021/22
27/08/2021,Nantes,Lyon,0,1,A,18,12,5,5,4.5,4.0,1.66,Ligue 1,2021/22
28/08/2021,Nice,Bordeaux,4,0,H,11,13,5,4,1.6,4.2,5.25,Ligue 1,2021/22
28/08/2021,Marseille,St Etienne,3,1,H,19,11,5,7,1.7,3.8,4.75,Ligue 1,2021/22
29/08/2021,Troyes,Monaco,1,2,A,12,7,3,4,4.33,3.6,1.83,Ligue 1,2021/22
29/08/2021,Angers,Rennes,2,0,H,16,7,4,2,2.9,3.25,2.5,Ligue 1,2021/22
29/08/2021,Clermont,Metz,2,2,D,16,12,4,4,1.72,3.75,4.75,Ligue 1,2021/22
29/08/2021,Lens,Lorient,2,2,D,19,15,9,7,1.75,3.6,5.0,Ligue 1,2021/22
29/08/2021,Strasbourg,Brest,3,1,H,11,11,5,5,2.0,3.3,4.0,Ligue 1,2021/22
29/08/2021,Lille,Montpellier,2,1,H,15,6,4,3,1.66,4.0,5.0,Ligue 1,2021/22
29/08/2021,Reims,Paris SG,0,2,A,11,12,4,3,17.0,8.0,1.14,Ligue 1,2021/22
10/09/2021,Lorient,Lille,2,1,H,14,9,7,3,3.4,3.4,2.15,Ligue 1,2021/22
11/09/2021,Paris SG,Clermont,4,0,H,13,14,7,2,1.25,6.5,10.0,Ligue 1,2021/22
11/09/2021,Monaco,Marseille,0,2,A,7,13,0,5,2.0,3.6,3.6,Ligue 1,2021/22
12/09/2021,Montpellier,St Etienne,2,0,H,11,14,4,2,2.55,3.5,2.7,Ligue 1,2021/22
12/09/2021,Bordeaux,Lens,2,3,A,11,12,3,5,3.3,3.5,2.15,Ligue 1,2021/22
12/09/2021,Brest,Angers,1,1,D,12,8,6,2,2.6,3.4,2.7,Ligue 1,2021/22
12/09/2021,Metz,Troyes,0,2,A,16,10,2,5,2.25,3.3,3.25,Ligue 1,2021/22
12/09/2021,Rennes,Reims,0,2,A,9,7,1,3,1.65,3.75,5.75,Ligue 1,2021/22
