date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
17/08/2024,Genoa,Inter,2,2,D,10,14,6,9,6.5,4.0,1.53,Serie A,2024/25
17/08/2024,Parma,Fiorentina,1,1,D,13,14,5,7,3.5,3.2,2.2,Serie A,2024/25
17/08/2024,Empoli,Monza,0,0,D,9,4,1,1,2.5,3.2,3.0,Serie A,2024/25
17/08/2024,Milan,Torino,2,2,D,20,6,6,3,1.62,3.8,5.75,Serie A,2024/25
18/08/2024,Bologna,Udinese,1,1,D,22,4,7,2,1.91,3.4,4.33,Serie A,2024/25
18/08/2024,Verona,Napoli,3,0,H,8,15,5,5,4.75,3.6,1.75,Serie A,2024/25
18/08/2024,Cagliari,Roma,0,0,D,12,13,2,3,4.1,3.4,1.95,Serie A,2024/25
18/08/2024,Lazio,Venezia,3,1,H,13,11,6,3,1.48,4.1,7.5,Serie A,2024/25
19/08/2024,Lecce,Atalanta,0,4,A,19,10,5,6,4.2,3.7,1.85,Serie A,2024/25
19/08/2024,Juventus,Como,3,0,H,12,1,9,1,1.33,5.0,9.5,Serie A,2024/25
24/08/2024,Parma,Milan,2,1,H,8,17,5,5,4.75,3.9,1.7,Serie A,2024/25
24/08/2024,Udinese,Lazio,2,1,H,8,17,3,5,3.3,3.1,2.35,Serie A,2024/25
24/08/2024,Inter,Lecce,2,0,H,11,10,3,4,1.2,7.0,13.0,Serie A,2024/25
24/08/2024,Monza,Genoa,0,1,A,9,11,2,1,2.6,3.1,2.88,Serie A,2024/25
25/08/2024,Fiorentina,Venezia,0,0,D,12,7,8,4,1.42,4.75,7.0,Serie A,2024/25
25/08/2024,Torino,Atalanta,2,1,H,13,24,6,8,3.2,3.1,2.38,Serie A,2024/25
25/08/2024,Napoli,Bologna,3,0,H,16,9,5,2,1.9,3.5,4.1,Serie A,2024/25
25/08/2024,Roma,Empoli,1,2,A,17,10,6,3,1.5,4.33,6.5,Serie A,2024/25
26/08/2024,Cagliari,Como,1,1,D,11,13,5,4,2.1,3.4,3.4,Serie A,2024/25
26/08/2024,Verona,Juventus,0,3,A,7,7,1,5,5.25,3.75,1.67,Serie A,2024/25
30/08/2024,Venezia,Torino,0,1,A,13,12,4,6,3.4,3.3,2.2,Serie A,2024/25
30/08/2024,Inter,Atalanta,4,0,H,13,11,5,1,1.57,4.33,5.5,Serie A,2024/25
31/08/2024,Bologna,Empoli,1,1,D,14,4,3,2,1.62,3.75,6.0,Serie A,2024/25
31/08/2024,Lecce,Cagliari,1,0,H,17,21,4,2,2.25,3.2,3.4,Serie A,2024/25
31/08/2024,Lazio,Milan,2,2,D,7,10,5,4,2.9,3.4,2.4,Serie A,2024/25
31/08/2024,Napoli,Parma,2,1,H,29,13,7,2,1.48,4.33,7.0,Serie A,2024/25
01/09/2024,Fiorentina,Monza,2,2,D,15,4,5,3,1.67,3.9,5.0,Serie A,2024/25
01/09/2024,Genoa,Verona,0,2,A,11,10,1,3,2.0,3.3,4.0,Serie A,2024/25
01/09/2024,Juventus,Roma,0,0,D,8,7,1,1,1.75,3.6,5.0,Serie A,2024/25
01/09/2024,Udinese,Como,1,0,H,10,21,3,4,2.05,3.4,3.75,Serie A,2024/25
14/09/2024,Como,Bologna,2,2,D,14,14,4,4,3.0,3.25,2.45,Serie A,2024/25
14/09/2024,Empoli,Juventus,0,0,D,8,15,3,3,5.25,3.6,1.7,Serie A,2024/25
14/09/2024,Milan,Venezia,4,0,H,12,6,8,1,1.3,5.75,9.0,Serie A,2024/25
15/09/2024,Genoa,Roma,1,1,D,20,16,8,6,3.25,3.3,2.25,Serie A,2024/25
15/09/2024,Atalanta,Fiorentina,3,2,H,13,13,7,5,1.8,3.6,4.5,Serie A,2024/25
15/09/2024,Torino,Lecce,0,0,D,5,20,0,6,1.8,3.5,4.75,Serie A,2024/25
15/09/2024,Cagliari,Napoli,0,4,A,16,12,3,5,4.33,3.75,1.8,Serie A,2024/25
15/09/2024,Monza,Inter,1,1,D,5,16,2,2,8.0,4.75,1.4,Serie A,2024/25
16/09/2024,Parma,Udinese,2,3,A,9,18,3,6,2.25,3.4,3.2,Serie A,2024/25
16/09/2024,Lazio,Verona,2,1,H,14,7,7,2,1.62,3.8,6.0,Serie A,2024/25
